,Texts,SWN Analysis,Emotions
19,"People discussing, you vanishing",Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
20,"Walao, I read a few article about what is a religion and its usage to do the SHE individual assignment. This is a really hard torture for a Atheist like me. I'm just believe in $$, how should I do this essay ==",Negative,"{'Happy': 0.0, 'Angry': 0.5, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
21,Covid is real enemy pls rmb,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
22,Thanks admin,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
23,Wat u call道德绑架in English … See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
24,Nah show you the exit in case you still wan to post some hate speech and blaming admin for banning it. Fxxk off… See More,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
25,我是2019/2020 stpm的学生，最近upu出了interview的通知，而我本来满心期待去检查，却发现dukacita dimaklumkan bahawa nama anda tiada dalam senarai.我瞬间失望，为什么？因为疫情，只能用sem2最好的成绩，我偏偏有一科需要重考。可能因为重考这科，被筛选制度刷了下来。但我很努力去准备重考了。我会觉得不公平，因为overall成绩还没出，为什么就用sem2成绩来给机会？看着身边的朋友都拿到了面试机会，而我却… 有人遇到和我一样的情况吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
26,#USMCFS24994,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
27,It's tomorrow!!!!!!!!!!!… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
28,我一直以为国内政府大学第一名UM接下来的第二名就是USM了 UPU就填了这两间学校 甚至USM更多 怎么USM不在排名里面呢 早知道就填UTM了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
29,Here is a pic of phupha looking at tian and there's me who never gets past the talking stage.,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
30,We all got demotivated these days...  I need to gain back my passion to study and see from other perspective so let's do this: tell me what course do you take and what is special and interesting about it?… See More,Positive,"{'Happy': 0.33, 'Angry': 0.17, 'Surprise': 0.17, 'Sad': 0.33, 'Fear': 0.0}"
31,庆幸下，我们的教学还能排第三。算不错了,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
32,为什么Pxxxxg student不能冷静点大胆点稍微chill那么少少，一直墨守成规一点点就怕，不幸苦吗还讲搞到很压力，可能这就是为什么USMCF 这么于众不同,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
33,"Hi, embarrassing story, I mistaken the deadline for the interview for Fine Arts course and therefore I missed out on the submission. I'd like to ask if there's a chance I could reapply for rayuan later on? Appreciate any advice I can get, thank… See More",Neutral,"{'Happy': 0.29, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.14, 'Fear': 0.57}"
34,Anyone know can we still use the Microsoft student account after we graduate? The 1Tb One drive can still be used? Thanks!!!,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
35,可以自己一个人做infografik 就好吗？ 跟你们讨论我很累,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
36,"Hello everyone. I am the one who posted in #USMCFS24940 Thank you to all because many have shared their opinions on this. At the same time, I did not think my post would be something sensational on this page. I hope everyone can express their opinions in a prudent way.",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.6, 'Sad': 0.0, 'Fear': 0.4}"
37,真好奇以后的你是如何团队合作,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
38,Finished 75% of the assignment.… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
39,Last 2020 batch,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
40,"Hi 大家，最近upu 公布了，我得到了usm doktor perubatan 的interview，想问各位大大:,Getting an interview is a good opportunity,cherish it,it will bring about more un… See More",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
41,lim lx Yix 我喜欢你，脑海里全是你的可爱模样。你有女朋友了吗？可以给个机会吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
42,"Does anyone felt disappointed with online learning , not because of how the classes are conducted, but the way students' skills and knowledge are assesed?… See More",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.67, 'Fear': 0.0}"
43,While I was enjoying the meme only page.... Anyway congratz on reopening… See More,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
44,Rejoice!!!,Neutral,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
45,Breathes,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
46,"Mental health is important guys, take care of yourself",Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
47,Repost meme … See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
48,So do chi no sadame!!!!,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
49,Lesssgo,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
50,Shout out to fine arts ppl,Negative,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.0}"
51,Sad,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
52,大家好，想知道有什么freelance是适合学生做的？有什么freelance平台是诚实可靠的？本人没有任何freelance经验,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
53,i wan dis,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
54,Opps,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
55,Final exam越来越近了，只能坚强的安慰自己，assignment是做得完的加油大家,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
56,"But, you are one of the very chill lecturers in this semester, love your course even though you always say is a boring course for students.",Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.67, 'Fear': 0.0}"
57,.,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
58,Me during most of the online classes:,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
59,Nah for those stressed have a dose of genshin ost… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
60,Lecturer:,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
61,Kids late for class… See More,Negative,"{'Happy': 0.33, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.33, 'Fear': 0.0}"
62,Did somebody say my name?,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
63,Hopeless....,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
64,"Mock exam always run smoothly, but in fact got plenty of problems when answering in real time. So, when contact lecturer, lecturer will ignore it or just tell us to call exam unit",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.6, 'Fear': 0.4}"
65,#please make life easier!!! everyone is struggling #hearourvoice #UsmApex,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.5}"
66,Kny is for kids … See More,Neutral,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
67,"为什么我发现很多美女都是sarawak来的，尤其是古晋那边,有没有在usm读书的古晋美女tag出来好吗？我要认识",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
68,I feel like i shouldn't take this course,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
70,"Are you happy with the Final Examination format published by USM? Do you think the format and system burden you? If yes, you with me. Let's together sign the petition to urge the Unit Peperiksaan dan Pengijazahan to change the format ans system that east the students. We are enough for not getting the study week break and now we urge the Unit to not burden us more!!!",Positive,"{'Happy': 0.2, 'Angry': 0.0, 'Surprise': 0.13, 'Sad': 0.13, 'Fear': 0.53}"
71,Admin I love you,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
72,"I actually want all exam to have eproctoring. Cannot I die only, everyone must die together hehehe",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
73,#USMCFS25269,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
74,wahh! so many usm students in grndr.  that’s mean str8 male students are limited now . no wonder if you girls still single skskskksk,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
75,Rip,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
76,"Guys, double check before submitting your stuff",Positive,"{'Happy': 0.0, 'Angry': 1.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
77,Nuff said,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
78,I feel helpless when facing this kind of lecturer...,Negative,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
79,GG,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
80,"Of 4 roommate I got, this one is the most challenging one, what he know? 只知道烧水， 在桌上做 mouse-warrior (最拿手), 晚上一直靠墙，不知道在上什么网， 日复一日， 都是这样，别的我懒在这讲，回你娘家吧 ...宿舍不适合你，反正 untill now I'm not seeing the purpose you return to campus, or perhaps your home is not conducive, need to climb up the tree, redah hutan, to find stable connection? 你家人怎么生出像你这样的儿子，covid 这个时候该帮帮家人，你却.....aiya...不说了",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.67, 'Fear': 0.33}"
81,Is raining.,Negative,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
82,😌,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
84,看到外卖华人餐，免delivery fee，需要定五份，.有谁要一起定吗？,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
85,有点好奇那些声音很嗲的女生老的时候声音还会嗲吗？有点怪怪的。。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
86,"Hi, anyone taking spanish courses? May i know is it easy to score or what kind of assignment we need to do? Very interested in studying spanish but i have no one to refer to. Need a student pov instead of a lecturer. Thank u",Positive,"{'Happy': 0.4, 'Angry': 0.2, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.4}"
87,我花了一个星期看完了lecturer note,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
88,"I keep scrolling my tiktok fyp and u know what, it's full with Thai tiktoks with BL contents",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
89,😏,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
90,Can anyone from a*w 115 class help me? I am struggling in this assignment. Does anyone willing to teach or show me yr assign to refer? Everyone data sets is different I won't and can't copy from yours. Pls I really stuck in this assignment,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.17, 'Fear': 0.33}"
92,"Daily meme, like for more memes",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
94,"I'm having a painful toothache. Can't concentrate in getting my tasks done. Do you guys have any tips that can help to lessen the pain, please? It hurts so much  especially at night",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.8, 'Fear': 0.0}"
95,"More than 11 submission within two weeks. I'm so stressed !  essay, SketchUp, AutoCAD, ArcMap, report, 3D modeling. I'm sure you know which school I am",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
96,And here I am doing useless things  instead of doing the assignment.… See More,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.5, 'Sad': 0.0, 'Fear': 0.5}"
97,"Its been two weeks but I still want to share this, I hope our beloved lecturers are in good health and can survive through this pandemic.… See More",Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.5}"
98,I didn't wanna put any text but they won't allow me to post if I don't,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
99,I can't share positive vibes anymore. Days are just so dark. Nights are so bright I can't sleep. I'm depressed as hell.,Positive,"{'Happy': 0.5, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.5, 'Fear': 0.0}"
100,Imagine u have a room shape like a cylinder and u cant find a corner to cry.... Well too bad.... No corner for u,Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
101,chapter 1: the 1,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
102,Can anybody share interesting ghost stories happened around USM.,Positive,"{'Happy': 1.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.0}"
103,🙂,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
105,Like that's ever gonna happen,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
106,"Anybody want to live till old, study till old?",Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
107,"Someone just said this to me, and I can't stop convulsing",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
109,I know im not the only one who does their assignment because they just wanna finish it instead of getting good grades. Breakdowns are kinda my jam right now. Setiap masa asyik nangis je sebab stress T^T,Positive,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.25, 'Fear': 0.5}"
110,成绩好的没有义务带大家飞、也没有义务做多一点、也没有义务去做别人的part、也没有义务去检查和修改别人的part，体谅一下啦，他们很可怜的，谁知道他们一天睡了多少个小时。。。能来到usm的人应该都是很厉害的人了，希望大家可以认真、用心一点。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
111,真的很想退学，甚至还想s，可能是我太弱了，经不起庞大的压力。我告诉我自己要坚强，可是我真的快坚持不住了，大学真的不是我该来的地方。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
112,When you are doing your assignments and something SUS appeared. (Intense BGM!!!),Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 1.0, 'Fear': 0.0}"
113,"Which Convenience store is the choice of friends in usm?,· See original  · Rate this translation",Positive,"{'Happy': 0.33, 'Angry': 0.33, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 0.33}"
115,"Why aren't *K are punishing them.Is this following the sop.The *K are being sooo racist.Ive witnessed it many times.My friend told he just went gave food at *auj*na, the *k is scolding, then y arent the *k scolding this group of people,Edit: maybe *k already tegur, but uh yknow .. some people act like they don't care ; - ;",Negative,"{'Happy': 0.25, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.25}"
116,"真的跟 #usmxxxxxx15 的想法一样 我真的是不适合上大学对吧！？ 怎么办！ 自己什么都做不好！读什么都不会进，沟通也不好 and 成绩也不好 真的好心累, 超压抑~ 快忍受不料了啊  感觉自己真的好 xia suey",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
118,"当一样东西是A, 你却说你看到的是B, 证明你的眼睛度数非常深了，需要去眼镜店一趟。",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
120,在我intern的第一天，突然间闪起个很坏的念头，以后自己成立一间公司，把intern公司的员工挖角过去，让它变空壳公司。,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
121,"Assalamualaikum, hiii. Has anyone seen a wallet that is dark brown like this in the diligent cafe (mart) area, the roadway to the diligent square, and the diligent area. If you have please inform me. , ic and no matric in there … See More,· See original  · Rate this translation",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.6, 'Fear': 0.4}"
123,Hiii usm kkj student here~~,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
124,"Since I have been cleared for undertaking the intake interview for Masters In Counselling, I would like to ask what I can expect from the interview. As well as the HEPI test thing before? Can any seniors fill me in on what I can prepare beforehand?",Positive,"{'Happy': 0.17, 'Angry': 0.0, 'Surprise': 0.17, 'Sad': 0.17, 'Fear': 0.5}"
125,Muet band 4可以进usm英文教育系吗？ 需要重考吗？各位学长学姐,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
126,"Hmmm, degree is nothing, just a piece paper, professional degree knowledge does not matter... Seems like I should stop study about human arteries anatomy and start focus on my presentation skills... Then, I might able to convince others into believing I'm innocent after I accidentally cuts my patient's artery during his heart surgery.",Positive,"{'Happy': 0.0, 'Angry': 0.14, 'Surprise': 0.0, 'Sad': 0.43, 'Fear': 0.43}"
127,No comment,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
128,当晚上夜深人静的时候 把门锁紧 风扇冷气都关掉 以为没有什么噪音可以被录下来了… See More,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
129,"Sem ni sya banyak jadi group leader, pahal do korang pilih aku haih ,dah lah aku bengap nak mampuih",Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
130,Degree paper help you enter the work field.,Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.33, 'Sad': 0.0, 'Fear': 0.67}"
131,My professional degree knowledge help me determine size of chicken should be add in my future chicken rice business.,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.2, 'Sad': 0.2, 'Fear': 0.6}"
132,Malay:,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
133,1 year work holiday pick apple in AUSTRALIA with salary RM100K.… See More,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.0, 'Fear': 1.0}"
134,我的人生中居然只有swab test给了我positive的评价,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
135,"May I know from where I can give mock exam on campus online coz I missed the briefing and can not find on campus online.,Dengan hormatnya saya merujuk kepada perkara di atas.… See More",Negative,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.0, 'Sad': 0.33, 'Fear': 0.67}"
136,"Ms. Lxm.!!! You are teaching finance arh?, why i don't know one,  i want to attend also,  the quiz this morning signaling me that this paper gonna end me in the final Helpppp lehhh,  bro.. Confessor share class link pls",Positive,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 0.25, 'Sad': 0.25, 'Fear': 0.5}"
137,"I'm just really curious as to why the final exams are all different? I mean back then when there were f2f finals, I believe it was fair and equal for everyone but now there are so many confusing ways?! Why can't they just standardize 1 method so it's fair for all?  Lol watch your friends who are having it 'easier', graduate with first class honours",Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.56, 'Sad': 0.0, 'Fear': 0.33}"
138,**Serious post,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
139,Well...,Positive,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
140,当你开始受不了你的白痴舍友时,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
141,"想问usm sk*t 的活动还有几时会招聘筹委呢？是会在哪里更新啊 好像不是在fb page？我看中秋嘉年华的筹委招聘没有在那里呀,你可以先点赞 关注并留守 USM Mid-Autumn Festival 理大中秋 官方面子书专页，任何的活动或者招募详情过后都会在那里公布！敬请期待！",Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
142,✌️,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
144,真的很羡慕当过兵的人，尤其是女生，真的好帅！可惜我没有这个机会。多希望大学有3个月当兵的课程，有的话我肯定第一个去报名！,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
145,"Before I graduate, I want to thank all my lectures and friends because they never gonna give me up, never gonna let me down, never gonna run around and desert me. Most of all, they never make me cry, never say goodbye, and never tell a lie and … See More",Negative,"{'Happy': 0.14, 'Angry': 0.0, 'Surprise': 0.14, 'Sad': 0.57, 'Fear': 0.14}"
147,Yeah,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
148,._.,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
149,难怪那么多人deadline前才赶assignment,Neutral,"{'Happy': 0, 'Angry': 0, 'Surprise': 0, 'Sad': 0, 'Fear': 0}"
150,"What is wrong with CS B*L today ??? CS s*ciety just hijack B*L today and say got some mysterious reveal, and then at the end they help one of their members to sell their book (?) lol? Who wants to buy your book? Please don’t waste our time and don’t expect us to waste our money on your book please! We got assignments to do! Gosh, what a selfish person, wanna hijack the whole session just to sell her book dahell",Positive,"{'Happy': 0.11, 'Angry': 0.0, 'Surprise': 0.44, 'Sad': 0.33, 'Fear': 0.11}"
151,Broken da broken,Neutral,"{'Happy': 0.0, 'Angry': 0.0, 'Surprise': 1.0, 'Sad': 0.0, 'Fear': 0.0}"
